         4074313 function calls (4065842 primitive calls) in 57.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.020    0.020   56.890   56.890 C:\Users\jimru\Desktop\zelda_nes\main.py:23(run)
     3482   51.833    0.015   51.833    0.015 {method 'tick' of 'pygame.time.Clock' objects}
     3482    0.009    0.000    3.570    0.001 C:\Users\jimru\Desktop\zelda_nes\level.py:61(run)
     3482    0.049    0.000    1.412    0.000 C:\Users\jimru\Desktop\zelda_nes\level.py:81(custom_draw)
    52791    1.390    0.000    1.390    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     3482    0.020    0.000    1.210    0.000 C:\Users\jimru\Desktop\zelda_nes\level.py:96(enemy_update)
    24374    0.061    0.000    1.202    0.000 C:\Users\jimru\Desktop\zelda_nes\entity.py:14(move)
    20892    0.033    0.000    1.179    0.000 C:\Users\jimru\Desktop\zelda_nes\enemy.py:101(enemy_update)
    47590    0.597    0.000    1.134    0.000 C:\Users\jimru\Desktop\zelda_nes\entity.py:25(collision)
     3573    1.024    0.000    1.024    0.000 {built-in method pygame.image.load}
     3482    0.984    0.000    0.984    0.000 {built-in method pygame.display.update}
        1    0.000    0.000    0.976    0.976 C:\Users\jimru\Desktop\zelda_nes\main.py:8(__init__)
        1    0.000    0.000    0.956    0.956 C:\Users\jimru\Desktop\zelda_nes\level.py:12(__init__)
     3482    0.025    0.000    0.939    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:545(update)
     3482    0.015    0.000    0.908    0.000 C:\Users\jimru\Desktop\zelda_nes\player.py:143(update)
        1    0.011    0.011    0.734    0.734 C:\Users\jimru\Desktop\zelda_nes\level.py:68(__init__)
     3482    0.040    0.000    0.658    0.000 C:\Users\jimru\Desktop\zelda_nes\ui.py:5(ui)
  3045760    0.467    0.000    0.467    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
     3482    0.368    0.000    0.368    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.003    0.003    0.222    0.222 C:\Users\jimru\Desktop\zelda_nes\level.py:25(create_map)
        4    0.000    0.000    0.203    0.051 C:\Users\jimru\Desktop\zelda_nes\support.py:5(import_csv_layout)
        4    0.000    0.000    0.170    0.043 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:868(read_csv)
        4    0.001    0.000    0.170    0.043 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:583(_read)
        4    0.003    0.001    0.163    0.041 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1907(read)
        1    0.127    0.127    0.127    0.127 {method 'convert' of 'pygame.surface.Surface' objects}
1036/1032    0.009    0.000    0.112    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:389(__init__)
     3483    0.077    0.000    0.077    0.000 {built-in method pygame.event.get}
    24374    0.071    0.000    0.071    0.000 {built-in method pygame.draw.rect}
    47590    0.026    0.000    0.070    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:439(__iter__)
    20892    0.014    0.000    0.064    0.000 C:\Users\jimru\Desktop\zelda_nes\enemy.py:68(get_status)
     6964    0.059    0.000    0.059    0.000 {method 'render' of 'pygame.font.Font' objects}
    23528    0.046    0.000    0.054    0.000 C:\Users\jimru\Desktop\zelda_nes\enemy.py:55(get_player_distance_and_direction)
    58036    0.047    0.000    0.047    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:381(sprites)
     1044    0.005    0.000    0.046    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
        4    0.000    0.000    0.043    0.011 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\frame.py:694(__init__)
        4    0.001    0.000    0.043    0.011 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
        1    0.039    0.039    0.039    0.039 {built-in method pygame.base.quit}
     3482    0.013    0.000    0.038    0.000 C:\Users\jimru\Desktop\zelda_nes\player.py:52(input)
     1028    0.006    0.000    0.032    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:769(_try_cast)
        4    0.000    0.000    0.031    0.008 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:7142(fillna)
        8    0.000    0.000    0.031    0.004 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
        4    0.000    0.000    0.031    0.008 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\base.py:180(fillna)
        4    0.000    0.000    0.031    0.008 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:1643(fillna)
        4    0.001    0.000    0.028    0.007 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:533(_maybe_downcast)
   1028/4    0.007    0.000    0.027    0.007 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:622(convert)
        4    0.000    0.000    0.026    0.007 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:607(_init_dict)
        4    0.001    0.000    0.026    0.006 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:452(split_and_operate)
     2064    0.009    0.000    0.025    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1596(pandas_dtype)
       16    0.002    0.000    0.025    0.002 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\cast.py:1580(construct_1d_object_array_from_listlike)
     3490    0.013    0.000    0.022    0.000 {built-in method builtins.sorted}
    20892    0.018    0.000    0.022    0.000 C:\Users\jimru\Desktop\zelda_nes\enemy.py:86(animate)
67903/64827    0.015    0.000    0.021    0.000 {built-in method builtins.isinstance}
     3084    0.005    0.000    0.021    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6284(__getattr__)
     3572    0.021    0.000    0.021    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
        1    0.019    0.019    0.019    0.019 {built-in method pygame.display.set_mode}
        4    0.011    0.003    0.019    0.005 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
    20892    0.013    0.000    0.018    0.000 C:\Users\jimru\Desktop\zelda_nes\enemy.py:78(actions)
     2048    0.003    0.000    0.015    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:5437(_can_hold_identifiers_and_holds_name)
     3482    0.010    0.000    0.015    0.000 C:\Users\jimru\Desktop\zelda_nes\player.py:103(animate)
       32    0.000    0.000    0.014    0.000 C:\Users\jimru\Desktop\zelda_nes\support.py:12(import_graphics)
     2921    0.013    0.000    0.013    0.000 {built-in method pygame.key.get_pressed}
     1032    0.001    0.000    0.012    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:511(_validate_dtype)
       18    0.000    0.000    0.012    0.001 C:\Users\jimru\Desktop\zelda_nes\level.py:54(create_weapon)
       18    0.000    0.000    0.012    0.001 C:\Users\jimru\Desktop\zelda_nes\weapon.py:6(__init__)
     3482    0.004    0.000    0.011    0.000 C:\Users\jimru\Desktop\zelda_nes\player.py:129(cooldown)
     1032    0.003    0.000    0.011    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1863(from_array)
40155/35999    0.009    0.000    0.010    0.000 {built-in method builtins.len}
     1040    0.002    0.000    0.010    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
        4    0.000    0.000    0.010    0.002 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
     7054    0.009    0.000    0.009    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
    38863    0.009    0.000    0.009    0.000 C:\Users\jimru\Desktop\zelda_nes\level.py:92(<lambda>)
    20892    0.006    0.000    0.009    0.000 C:\Users\jimru\Desktop\zelda_nes\enemy.py:95(cooldown)
    47902    0.009    0.000    0.009    0.000 {method 'magnitude' of 'pygame.math.Vector2' objects}
    47594    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
    41157    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
        4    0.002    0.000    0.007    0.002 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\construction.py:596(_homogenize)
     6315    0.003    0.000    0.007    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
     2060    0.002    0.000    0.007    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\warnings.py:166(simplefilter)
     2057    0.004    0.000    0.007    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:2716(new_block)
        4    0.002    0.001    0.007    0.002 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:355(_concatenate_chunks)
    28515    0.006    0.000    0.006    0.000 {method 'normalize' of 'pygame.math.Vector2' objects}
     2048    0.001    0.000    0.006    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:536(is_string_dtype)
     1040    0.001    0.000    0.006    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:145(_get_option)
        4    0.000    0.000    0.005    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1575(__init__)
     2659    0.001    0.000    0.005    0.000 C:\Users\jimru\Desktop\zelda_nes\level.py:57(destroy_weapon)
     2056    0.003    0.000    0.005    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:2645(maybe_coerce_values)
        6    0.000    0.000    0.005    0.001 C:\Users\jimru\Desktop\zelda_nes\enemy.py:11(__init__)
     1036    0.002    0.000    0.005    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:784(name)
        4    0.000    0.000    0.005    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1848(_make_engine)
        6    0.000    0.000    0.005    0.001 C:\Users\jimru\Desktop\zelda_nes\enemy.py:48(import_enemy_graphics)
     1036    0.001    0.000    0.005    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:807(_set_axis)
     2060    0.003    0.000    0.005    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\warnings.py:182(_add_filter)
     2048    0.001    0.000    0.005    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1375(_is_dtype)
     2052    0.001    0.000    0.005    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:137(is_object_dtype)
    15120    0.005    0.000    0.005    0.000 {built-in method pygame.time.get_ticks}
     1025    0.001    0.000    0.004    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:274(make_block)
     2659    0.003    0.000    0.004    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:184(kill)
    35381    0.004    0.000    0.004    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:170(update)
        1    0.001    0.001    0.004    0.004 C:\Users\jimru\Desktop\zelda_nes\player.py:9(__init__)
     1048    0.003    0.000    0.004    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:278(__init__)
1072/1068    0.001    0.000    0.004    0.000 {built-in method builtins.all}
     6315    0.002    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
     1036    0.002    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:274(full)
